,text
10, Digoxin Orifarm Orifarm Healthcare (Orifarm Healthcare AS) : Kapitell bivirkning: Bivirkninger Gå til bivirkningssøk                 Frekvensintervaller: Svært vanlige (≥1/10)  vanlige (≥1/100 til <1/10)  mindre vanlige (≥1/1000 til <1/100)  sjeldne (≥1/10 000 til <1/1000)  svært sjeldne (<1/10 000) og ukjent frekvens.                        Bivirkningsoppslag              5-30% kan få bivirkninger. Bivirkninger skal alltid føre til dosereduksjon  og om nødvendig noen dagers behandlingsavbrudd. Bivirkningene skyldes oftest overdosering eller forstyrrelser i elektrolyttbalansen (spesielt kalium  kalsium og magnesium) og syre-basebalansen (spesielt hypokloremisk alkalose).Endre sortering til Frekvens      Organklasse Bivirkning   Blod/lymfe   Sjeldne Trombocytopeni   Endokrine   Mindre vanlige Gynekomasti (ved langvarig behandling)   Gastrointestinale   Vanlige Abdominalsmerter  appetittløshet (ved toksisitet)  diaré  kvalme  oppkast   Hjerte   Vanlige Arytmi  ekstrasystoler (ved digoksintoksisitet)  ikke-paroksysmal atrioventrikulær takykardi  uni- eller multifokale premature ventrikulære komplekser   Hud   Sjeldne Makulopapuløst utslett  Stevens-Johnsons syndrom  urtikaria   Nevrologiske   Vanlige Hodepine  tretthet   Mindre vanlige Asteni  encefalopati  insomni  krampeanfall  letargi  malaise  svimmelhet  trigeminusnevralgi   Psykiske   Mindre vanlige Apati  hallusinasjoner (ved toksisitet)  irritabilitet  mareritt  psykoser med delirium   Øye   Mindre vanlige Endret pupillestørrelse  endret synsskarphet (pga. lammelse i øyemuskulatur)  forstyrret fargesyn (gulfarging)  lyskrans rundt lyse gjenstander  retrobulbær nevritt eller skotom  tåkesyn       5-30% kan få bivirkninger. Bivirkninger skal alltid føre til dosereduksjon  og om nødvendig noen dagers behandlingsavbrudd. Bivirkningene skyldes oftest overdosering eller forstyrrelser i elektrolyttbalansen (spesielt kalium  kalsium og magnesium) og syre-basebalansen (spesielt hypokloremisk alkalose).Endre sortering til Organklasse      Frekvens Bivirkning   Vanlige   Gastrointestinale Abdominalsmerter  appetittløshet (ved toksisitet)  diaré  kvalme  oppkast   Hjerte Arytmi  ekstrasystoler (ved digoksintoksisitet)  ikke-paroksysmal atrioventrikulær takykardi  uni- eller multifokale premature ventrikulære komplekser   Nevrologiske Hodepine  tretthet   Mindre vanlige   Endokrine Gynekomasti (ved langvarig behandling)   Nevrologiske Asteni  encefalopati  insomni  krampeanfall  letargi  malaise  svimmelhet  trigeminusnevralgi   Psykiske Apati  hallusinasjoner (ved toksisitet)  irritabilitet  mareritt  psykoser med delirium   Øye Endret pupillestørrelse  endret synsskarphet (pga. lammelse i øyemuskulatur)  forstyrret fargesyn (gulfarging)  lyskrans rundt lyse gjenstander  retrobulbær nevritt eller skotom  tåkesyn   Sjeldne   Blod/lymfe Trombocytopeni   Hud Makulopapuløst utslett  Stevens-Johnsons syndrom  urtikaria                 Rapportering av bivirkninger
11, Digoxin Orifarm Orifarm Healthcare (Orifarm Healthcare AS) : Kapitell kontraindikasjon: KontraindikasjonerOverfølsomhet for innholdsstoffene. Ventrikkelflimmer. Samtidig i.v. administrering av kalsium (kan gi alvorlige arytmier og kardiovaskulær kollaps pga. additiv eller synergistisk kardial toksisitet).
12, Digoxin Orifarm Orifarm Healthcare (Orifarm Healthcare AS) : Kapitell generisk-bytte: Medisinbytte       Digoxin Orifarm TABLETTER 62 5 μg             Byttegruppe 002653      Preparat Firma Legemiddelform Styrke Varenr Pakning     Digoxin DAK 2care4 tabl. 62 5 μg 060727 100 stk. (flaske)   Digoxin Orifarm Orifarm Healthcare tabl. 62 5 μg 063485 100 stk. (boks)                  Gjelder medisinbytte (generisk bytte) i apotek. For mer informasjon om medisinbytte og byttelisten  se https://legemiddelverket.no/offentlig-finansiering/medisinbytte-i-apotek For medisinbytte ved institusjoner henvises til §7 i Forskrift om legemiddelhåndtering for virksomheter og helsepersonell som yter helsehjelp
13, Digoxin Orifarm Orifarm Healthcare (Orifarm Healthcare AS) : Kapitell graviditet-amming: Graviditet  amming og fertilitet        Bruk under graviditet - Legemiddelhåndboken                Digoksin      Ingen holdepunkter for fosterskade                         Bruk under amming - Legemiddelhåndboken            Relative doseverdier:  Overgang til morsmelk angis som minimal (< 2 %)  liten (2-5 %)  moderat (5-10 %) eller høy (10-50 %) basert på fraksjon av morens dose/kg kroppsvekt som barnet tilføres. (Barnets relative dose.) Over 3-4 ukers bruk ansees som langtidsbehandling.                        Digoksin (MM-kategori  2)      Overgang til morsmelk er liten. Kan brukes av ammende                   GraviditetKan brukes under graviditet.               AmmingKan brukes under amming. Skilles ut i morsmelk  men risiko for påvirkning av barn som ammes er usannsynlig ved terapeutiske doser.               FertilitetIngen data.
14, Digoxin Orifarm Orifarm Healthcare (Orifarm Healthcare AS) : Kapitell BasedOnSPC: Basert på SPC godkjent av SLV/EMA: 24.09.2021
15, Digoxin Orifarm Orifarm Healthcare (Orifarm Healthcare AS) : Kapitell deklarasjon: TABLETTER 62 5 μg og  250 μg: Hver tablett inneh.: Digoksin 62 5 µg  resp. 250 µg  laktose  hjelpestoffer. Fargestoff: 62 5 µg: Indigotin (E 132).
16, Digoxin Orifarm Orifarm Healthcare (Orifarm Healthcare AS) : Kapitell egenskap: Egenskaper og miljø  VirkningsmekanismePositiv inotrop effekt. Effekten skyldes at natrium- og kaliumioners bevegelse over cellemembranen hemmes  pga. digoksins kompleksdannelse med Na-K-ATPase. Hemmingen gir økt kalsiumtilstrømning og økt frigjøring av frie kalsiumioner i cellene i hjertemuskelen  som potenserer aktiviteten i kontraktile muskelfibre i hjertet. Ledningshastighet reduseres og AV-knutens effektive refraktærperiode forlenges. Effekten medieres indirekte via økt parasympatisk tonus og dermed nedsatt sympatisk tonus.               AbsorpsjonCa. 70%.               Proteinbinding20-30%.               FordelingStort Vd (som øker med alderen) og fordeling i hjerte  hjerne  erytrocytter og skjelettmuskulatur. Konsentrasjonen er høyere i hjertemuskelceller enn i plasma. Digoksin finnes i cerebrospinalvæske.               Halveringstid1 5-2 døgn  avhengig av alder.               Terapeutisk serumkonsentrasjonFor de fleste 0 5-2 ng/ml  men betraktelig interindividuell variasjon.               MetabolismeHos ca. 10% omdannes en vesentlig del til inaktive metabolitter av tarmbakterier.               UtskillelsePrimært uendret i urin. Eliminasjon ved glomerulær filtrasjon og tubulær sekresjon. Reabsorpsjon forekommer. Eliminasjon er proporsjonal med glomerulær filtrasjonshastighet.
17, Digoxin Orifarm Orifarm Healthcare (Orifarm Healthcare AS) : Kapitell forsiktighet: ForsiktighetsreglerDigoksin har et svært smalt terapeutisk vindu og digitalisering gjøres i nøye overensstemmelse med doseringsveiledning. Toksisitet sees hyppig og kan skyldes økt serumkonsentrasjon eller økt følsomhet for digoksin. Brukes med forsiktighet ved kardiovaskulær sykdom. Nøye overvåkning mht. tidlige tegn på toksisitet er nødvendig. Hjertefrekvensen skal generelt være >60 slag/minutt. Skal brukes med forsiktighet ved akutt myokardinfarkt  akutt myokarditt  amyloid kardiomyopati  AV-blokk (også ved ufullstendig AV-blokk  spesielt ved Adams-Stokes syndrom)  kronisk konstriktiv perikarditt  elektrolyttforstyrrelse (hypokalemi  hypo- eller hyperkalsemi  hypomagnesemi)  falske positive ST-T-endringer  alvorlig nedsatt nyrefunksjon  hypermetabolske tilstander  hypertensjon  hypotyreoidisme og myksødem  hypoksi  idiopatisk hypertrofisk subaortastenose  alvorlig bradykardi  alvorlig hjertesvikt  alvorlig lungesykdom  sykdom i sinusknuten (inkl. sick sinus-syndrom)  premature ventrikulære kontraksjoner og ventrikulær takykardi  Wolff-Parkinson-Whites syndrom. Hjelpestoffer: Inneholder laktose og bør ikke brukes ved galaktoseintoleranse  total laktasemangel eller glukose-galaktosemalabsorpsjon.
18, Digoxin Orifarm Orifarm Healthcare (Orifarm Healthcare AS) : Kapitell dosering-strukturert: Dosering                 Voksne               Metningsdose: 10 µg/kg kroppsvekt. Vedlikeholdsdose: 125 µg 1 gang daglig. Bør tilpasses iht. serumkonsentrasjon.                                Barn                              Individuell og aldersavhengig dosering. Metningsdose: Varierer fra initialdose på 8-12 µg/kg kroppsvekt til total metningsdose på 20-35 µg/kg. Vedlikeholdsdose: 5-12 µg/kg daglig fordelt på 2 doser.                                Eldre                              Toleranse og utskillelse er nedsatt  og reduserte doser er nødvendig. Vd og eliminasjons t1/2 øker med alderen  det kan ta inntil 2 uker før steady state. Metningsdose: Bør beregnes ut fra kroppsvekt. Vedlikeholdsdose: Bør baseres på aktuell kreatininclearance. Rutinemessig bruk av svært lave doser hos eldre frarådes  individuell dosevurdering anbefales.                Spesielle pasientgrupper  Nedsatt leverfunksjon: Ingen dosejustering nødvendig. Nedsatt nyrefunksjon: Digoksin utskilles renalt og vedlikeholdsdosen bør reduseres iht. grad av nedsatt nyrefunksjon. Serumkonsentrasjonen av digoksin bør overvåkes nøye. Hyperkalemi ved nedsatt nyrefunksjon kan føre til redusert følsomhet for digoksins effekt.     Administrering Bør tas til samme tidspunkt hver dag. Svelges med rikelig mengde vann. Tas med eller uten mat. Kan tygges. Kan knuses.              Legemiddelfoto               Digoxin Orifarm «Orifarm Healthcare» tabletter 62 5 μg         Form: Rund   Overflateform: Flat   Deling: Uten delestrek/-kors   Mål (lengde × bredde): 6.0x6.0 mm   Offisiell farge: Lyseblå   Farge: Lyseblå      Farge og størrelse på kapsel/tablett kan avvike noe.            Digoxin Orifarm «Orifarm Healthcare» tabletter 250 μg         Form: Rund   Overflateform: Flat   Deling: Uten delestrek/-kors   Mål (lengde × bredde): 6.0x6.0 mm   Offisiell farge: Hvit   Farge: Hvit      Farge og størrelse på kapsel/tablett kan avvike noe.
19, Digoxin Orifarm Orifarm Healthcare (Orifarm Healthcare AS) : Kapitell overdosering: Overdosering/Forgiftning        Forgiftninger - Giftinformasjonen                                      C01A A05                                              Digoksin                            C01A A05   Digoksin                                                            Toksisitet: Barn: <0 03 mg/kg forventes ingen symptomer. 0 5-0 75 mg til 1-3-åringer ga lett  0 75 mg til barn 10 måneder ga moderat  0 75-1 75 mg til 2-åring ga etter ventrikkeltømming moderat og 4 mg til 14-åring ga alvorlig forgiftning. Voksne: 5 mg ga alvorlig og 10-12 5 mg ga svært alvorlig forgiftning. Serumkonsentrasjon >4 nmol/liter hos brukere gir ofte alvorlig forgiftning.                                                                                      Klinikk og behandling: Se Digitalisglykosider  C01A A                        SymptomerMed mindre overdoseringen er kraftig  kan ikke symptomer på overdosering skilles fra bivirkningene som opptrer ved terapeutiske eller høye doser. Overdosering kan føre til oppkast  bradykardi  varierende grad av AV-blokk  atrie- og ventrikulære arytmier  hyperkalemi og endret mental status. Forgiftningens alvorlighetsgrad avhenger av allmenntilstand  alder og bruk av digoksin før overdosering. Forgiftningen kan være akutt og kronisk. Ved akutte tilfeller dominerer kvalme  oppkast og kardiotoksisitet. Ved kronisk forgiftning sees uspesifikke symptomer som utilpasshet  svakhet og synsforstyrrelser (sjeldent). Hos mange er hjertearytmi eneste tegn. Voksne med normal hjerterytme opplever sjeldent livstruende forgiftning etter akutt inntak av ≥5 mg digoksin. Fatale tilfeller med hjertestans sees ofte etter >10 mg digoksin hos friske voksne  resp. >4 mg hos friske barn.               BehandlingSymptomatisk og støttende. Elimineres ikke ved dialyse  begrensede mengder fjernes ved utskiftningstransfusjon og kardiopulmonal bypass. Ved alvorlige forgiftninger med livstruende arytmi  hemodynamisk ustabilitet og hyperkalemi brukes spesifikt digoksinantistoff.
20, Digoxin Orifarm Orifarm Healthcare (Orifarm Healthcare AS) : Kapitell LastDateChangedSection: Sist endret: 20.10.2021               (priser og ev. refusjon oppdateres hver 14. dag)
21, Isoprenaline hydrochloride Macure Macure Pharma : Kapitell spc-preparatomtale: SPC (preparatomtale)    Isoprenaline hydrochloride Macure KONSENTRAT TIL INFUSJONSVÆSKE  oppløsning 0 2 mg/mlGå til godkjent preparatomtale    Lenkene går til godkjente preparatomtaler (SPC) på Legemiddelverkets nettside. Legemidler sentralt godkjent i EU/EØS lenkes til preparatomtaler på nettsiden til The European Medicines Agency (EMA). For sentralt godkjente legemidler ligger alle styrker og legemiddelformer etter hverandre i samme dokument.
22, Isoprenaline hydrochloride Macure Macure Pharma : Kapitell vnrtabell: Pakninger  priser og refusjon  Isoprenaline hydrochloride Macure  KONSENTRAT TIL INFUSJONSVÆSKE  oppløsning:     Styrke Pakning                    Varenr. Refusjon Pris (kr) R.gr.     0 2 mg/ml 5 × 5 ml (amp.) 128125 - 5 161 30 C
23, Isoprenaline hydrochloride Macure Macure Pharma : Kapitell deklarasjon: KONSENTRAT TIL INFUSJONSVÆSKE  oppløsning 0 2 mg/ml: Hver ampulle inneh.: Isoprenalinhydroklorid 1 mg. Se for øvrig SPC.
24, Isoprenaline hydrochloride Macure Macure Pharma : Kapitell LastDateChangedSection: Sist endret: 02.10.2020               (priser og ev. refusjon oppdateres hver 14. dag)
25, Nitroglycerin Abboxia : Kapitell spc-preparatomtale: SPC (preparatomtale)    Nitroglycerin INFUSJONSVÆSKE  oppløsning 1 mg/mlGå til godkjent preparatomtale    Lenkene går til godkjente preparatomtaler (SPC) på Legemiddelverkets nettside. Legemidler sentralt godkjent i EU/EØS lenkes til preparatomtaler på nettsiden til The European Medicines Agency (EMA). For sentralt godkjente legemidler ligger alle styrker og legemiddelformer etter hverandre i samme dokument. Dette er et parallellimportert preparat. Et parallellimportert preparat er lenket til SPC for et referansepreparat. Vær oppmerksom på at det parallellimporterte preparatet kan ha andre hjelpestoffer enn referansepreparatet  som kan føre til at utseende  administrering  oppbevaring og holdbarhet er forskjellig. Sjekk derfor alltid pakningsvedlegget.
26, Nitroglycerin Abboxia : Kapitell vnrtabell: Pakninger  priser og refusjon  Nitroglycerin  INFUSJONSVÆSKE  oppløsning:     Styrke Pakning                    Varenr. Refusjon Pris (kr) R.gr.     1 mg/ml 50 ml (flaske) 389390 - 430 30 C   10 × 50 ml (flaske) 441172 - 3 976 30 C
27, Nitroglycerin Abboxia : Kapitell generisk-bytte: Medisinbytte       Nitroglycerin INFUSJONSVÆSKE  oppløsning 1 mg/ml             Byttegruppe 002541      Preparat Firma Legemiddelform Styrke Varenr Pakning     Nitroglycerin Abboxia inf. 1 mg/ml 441172 10 × 50 ml (flaske)   Nitroglycerin Abboxia inf. 1 mg/ml 389390 50 ml (flaske)                  Gjelder medisinbytte (generisk bytte) i apotek. For mer informasjon om medisinbytte og byttelisten  se https://legemiddelverket.no/offentlig-finansiering/medisinbytte-i-apotek For medisinbytte ved institusjoner henvises til §7 i Forskrift om legemiddelhåndtering for virksomheter og helsepersonell som yter helsehjelp
28, Nitroglycerin Abboxia : Kapitell notification: Miljø og legemidler                C01D A02                        Glyseroltrinitrat                                                                        PNEC: 0 4 μg/liter  Salgsvekt: 10 84207 kg   Miljørisiko: Bruk av glyseroltrinitrat gir ubetydelig risiko for miljøpåvirkning.   Bioakkumulering: Glyseroltrinitrat har lavt potensiale for bioakkumulering.  Nedbrytning: Glyseroltrinitrat brytes ned i miljøet.   Miljørisiko er beregnet utifra forholdet mellom forventet konsentrasjon i vann (Predicted Environmental Concentration - PEC) og høyeste sikre konsentrasjon (Predicted No Effect Concentration - PNEC). PEC er beregnet utifra årlig salgsvekt i Norge.                         Miljøinformasjonen (datert 26.11.2020) er utarbeidet av Novartis.                       Les mer på Fass     Se miljøinfo for virkestoff i samme ATC-gruppe
29, Nitroglycerin Abboxia : Kapitell deklarasjon: INFUSJONSVÆSKE  oppløsning 1 mg/ml: 1 ml inneh.: Glyseroltrinitrat 1 mg. Se for øvrig pakningsvedlegget og SPC.
30, Nitroglycerin Abboxia : Kapitell LastDateChangedSection: Sist endret: 19.04.2023               (priser og ev. refusjon oppdateres hver 14. dag)
31, Nitroglycerin Orifarm Orifarm Healthcare (Orifarm Healthcare AS) : Kapitell indikasjon: IndikasjonerAngina pectoris.
32, Nitroglycerin Orifarm Orifarm Healthcare (Orifarm Healthcare AS) : Kapitell spc-preparatomtale: SPC (preparatomtale)    Nitroglycerin Orifarm SUBLINGVALTABLETTER 0 25 mgGå til godkjent preparatomtale   Nitroglycerin Orifarm SUBLINGVALTABLETTER 0 5 mgGå til godkjent preparatomtale    Lenkene går til godkjente preparatomtaler (SPC) på Legemiddelverkets nettside. Legemidler sentralt godkjent i EU/EØS lenkes til preparatomtaler på nettsiden til The European Medicines Agency (EMA). For sentralt godkjente legemidler ligger alle styrker og legemiddelformer etter hverandre i samme dokument.
33, Nitroglycerin Orifarm Orifarm Healthcare (Orifarm Healthcare AS) : Kapitell vnrtabell: Pakninger  priser og refusjon  Nitroglycerin Orifarm  SUBLINGVALTABLETTER:     Styrke Pakning                    Varenr. Refusjon Pris (kr) R.gr.     0 25 mg 25 stk. (glass) 142044 Blå resept 125 50 C   100 stk. (glass) 192943 Blå resept 290 00 C   0 5 mg 25 stk. (glass) 108866 Blå resept 125 50 C   100 stk. (glass) 184013 Blå resept 290 00 C
34, Nitroglycerin Orifarm Orifarm Healthcare (Orifarm Healthcare AS) : Kapitell bivirkning: Bivirkninger Gå til bivirkningssøk                 Frekvensintervaller: Svært vanlige (≥1/10)  vanlige (≥1/100 til <1/10)  mindre vanlige (≥1/1000 til <1/100)  sjeldne (≥1/10 000 til <1/1000)  svært sjeldne (<1/10 000) og ukjent frekvens.                        Bivirkningsoppslag              De fleste bivirkningene er doseavhengige og farmakologisk betingede.                       Hodepine og flushing kan forekomme ved behandlingsstart. Opp mot 50% opplever hodepine ved behandlingsstart  men den forsvinner som regel ved fortsatt behandling.                     Endre sortering til Frekvens      Organklasse Bivirkning   Blod/lymfe   Svært sjeldne Methemoglobinemi   Ukjent frekvens Forbigående hypoksemi og iskemi1   Gastrointestinale   Mindre vanlige Kvalme   Sjeldne Oppkast   Generelle   Sjeldne Karies   Ukjent frekvens Svie eller stikkende følelse i munnhule og hals   Hud   Mindre vanlige Allergisk hudreaksjon   Svært sjeldne Eksfoliativ dermatitt   Kar   Vanlige Forbigående flushing  hypotensjon  takykardi   Mindre vanlige Forverring av symptomene på angina pectoris kan sees ved alvorlig redusert blodtrykk (paradoksal nitratreaksjon)   Sjeldne Ortostatisk hypotensjon (som fører til reflekstakykardi  vertigo og synkope)   Ukjent frekvens Hetetokter   Nevrologiske   Svært vanlige Hodepine   Vanlige Somnolens  svakhet  vertigo   Sjeldne Synkope   Øye   Ukjent frekvens Økt intraokulært trykk      1Hos pasienter med koronarsykdom; er et resultat av en relativ omdistribusjon av blodstrømmen til hypoventilerte alveoleområder.    De fleste bivirkningene er doseavhengige og farmakologisk betingede.                       Hodepine og flushing kan forekomme ved behandlingsstart. Opp mot 50% opplever hodepine ved behandlingsstart  men den forsvinner som regel ved fortsatt behandling.                     Endre sortering til Organklasse      Frekvens Bivirkning   Svært vanlige   Nevrologiske Hodepine   Vanlige   Kar Forbigående flushing  hypotensjon  takykardi   Nevrologiske Somnolens  svakhet  vertigo   Mindre vanlige   Gastrointestinale Kvalme   Hud Allergisk hudreaksjon   Kar Forverring av symptomene på angina pectoris kan sees ved alvorlig redusert blodtrykk (paradoksal nitratreaksjon)   Sjeldne   Gastrointestinale Oppkast   Generelle Karies   Kar Ortostatisk hypotensjon (som fører til reflekstakykardi  vertigo og synkope)   Nevrologiske Synkope   Svært sjeldne   Blod/lymfe Methemoglobinemi   Hud Eksfoliativ dermatitt   Ukjent frekvens   Blod/lymfe Forbigående hypoksemi og iskemi1   Generelle Svie eller stikkende følelse i munnhule og hals   Kar Hetetokter   Øye Økt intraokulært trykk      1Hos pasienter med koronarsykdom; er et resultat av en relativ omdistribusjon av blodstrømmen til hypoventilerte alveoleområder.              Rapportering av bivirkninger
35, Nitroglycerin Orifarm Orifarm Healthcare (Orifarm Healthcare AS) : Kapitell oppbevaring-holdbarhet: Oppbevaring og holdbarhetOppbevares i originalemballasjen ved høyst 30°C.
36, Nitroglycerin Orifarm Orifarm Healthcare (Orifarm Healthcare AS) : Kapitell kontraindikasjon: KontraindikasjonerOverfølsomhet for innholdsstoffene eller nitrater. Alvorlig anemi eller hypovolemi. Konstriktiv perikarditt og perikardtamponade. Samtidig bruk av fosfodiesterasehemmere til behandling av erektil dysfunksjon (sildenafil  tadalafil  vardenafil) pga. betydelig økt hypotensiv effekt og derav følgende alvorlige bivirkninger (f.eks. synkoper  paradoksal myokardiskemi). Alvorlig hypotensjon. Hypertrofisk obstruktiv kardiomyopati. Økt intrakranielt trykk (cerebralt traume eller hjerneblødning).
37, Nitroglycerin Orifarm Orifarm Healthcare (Orifarm Healthcare AS) : Kapitell generisk-bytte: Medisinbytte       Nitroglycerin Orifarm SUBLINGVALTABLETTER 0 5 mg             Byttegruppe 002069      Preparat Firma Legemiddelform Styrke Varenr Pakning     Nitroglycerin Orifarm Orifarm Healthcare sublingvaltabl. 0 5 mg 108866 25 stk. (glass)   Nitroglycerin Orifarm Orifarm Healthcare sublingvaltabl. 0 5 mg 184013 100 stk. (glass)                  Gjelder medisinbytte (generisk bytte) i apotek. For mer informasjon om medisinbytte og byttelisten  se https://legemiddelverket.no/offentlig-finansiering/medisinbytte-i-apotek For medisinbytte ved institusjoner henvises til §7 i Forskrift om legemiddelhåndtering for virksomheter og helsepersonell som yter helsehjelp
38, Nitroglycerin Orifarm Orifarm Healthcare (Orifarm Healthcare AS) : Kapitell graviditet-amming: Graviditet  amming og fertilitet        Bruk under graviditet - Legemiddelhåndboken                Glyseroltrinitrat      Erfaring med bruk hos gravide er begrenset                         Bruk under amming - Legemiddelhåndboken            Relative doseverdier:  Overgang til morsmelk angis som minimal (< 2 %)  liten (2-5 %)  moderat (5-10 %) eller høy (10-50 %) basert på fraksjon av morens dose/kg kroppsvekt som barnet tilføres. (Barnets relative dose.) Over 3-4 ukers bruk ansees som langtidsbehandling.                        Glyseroltrinitrat (MM-kategori  3)      Opplysninger mangler                   Graviditet Data indikerer ingen negative effekter på graviditet eller helsen til fosteret/det nyfødte barnet. Skal imidlertid kun brukes dersom nytten oppveier risikoen.               AmmingUtskillelse i morsmelk er ukjent. Risiko for barn som ammes kan ikke utelukkes. Amming skal opphøre under behandling.               FertilitetIngen data.
39, Nitroglycerin Orifarm Orifarm Healthcare (Orifarm Healthcare AS) : Kapitell BasedOnSPC: Basert på SPC godkjent av SLV/EMA: 24.09.2021
40, Nitroglycerin Orifarm Orifarm Healthcare (Orifarm Healthcare AS) : Kapitell deklarasjon: SUBLINGVALTABLETTER 0 25 mg og  0 5 mg: Hver sublingvaltablett inneh.: Glyseroltrinitrat 0 25 mg resp. 0 5 mg  laktose  hjelpestoffer.
41, Nitroglycerin Orifarm Orifarm Healthcare (Orifarm Healthcare AS) : Kapitell egenskap: Egenskaper og miljø  KlassifiseringKardilaterende middel ved hjertesykdom.               VirkningsmekanismeVirker karutvidende på både vener og arterier. Effekten medieres via dannelse av nitrogenoksid  som stimulerer guanylatcyklase i karveggens glatte muskulatur. Guanylatcyklasene øker dannelsen av cGMP  som virker avslappende på karveggen  muligens ved å redusere konsentrasjonen av frie kalsiumioner i cytosol. Effekten varer i 30-60 minutter.               AbsorpsjonNesten fullstendig (36-54%) fra munnslimhinnen. Cmax oppnås etter 2-5 minutter.               Proteinbinding11-60%.               Halveringstid2-3 minutter.               MetabolismeRaskt i leveren til 1 2- og 1 3-dinitratmetabolitter. En viss grad av ekstrahepatisk metabolisme finner muligens sted.               UtskillelseVia nyrene.                      Miljø og legemidler                C01D A02                         Glyseroltrinitrat                                                                           PNEC: 0 4 μg/liter  Salgsvekt: 10 84207 kg   Miljørisiko: Bruk av glyseroltrinitrat gir ubetydelig risiko for miljøpåvirkning.   Bioakkumulering: Glyseroltrinitrat har lavt potensiale for bioakkumulering.  Nedbrytning: Glyseroltrinitrat brytes ned i miljøet.   Miljørisiko er beregnet utifra forholdet mellom forventet konsentrasjon i vann (Predicted Environmental Concentration - PEC) og høyeste sikre konsentrasjon (Predicted No Effect Concentration - PNEC). PEC er beregnet utifra årlig salgsvekt i Norge.                          Miljøinformasjonen (datert 26.11.2020) er utarbeidet av Novartis.                        Les mer på Fass     Se miljøinfo for virkestoff i samme ATC-gruppe
